Destination,Feedback_Score,H_Rating,Number of Allinclusive hotels,Most visited city
Austria,9,4,34,Vienna
Bulgaria,8,3,5,Sofia
Croatia,7,4,7,Zagreb
Cyprus,8,3,24,Limassol
Czech Republic,8,4,47,Prague
France,9,5,63,Paris
Germany,9,5,29,Berlin
Michigan,2,4,19,Gibraltar
Greece,7,4,58,Athens
Hungary,8,3,12,Budapest
Iceland,3,5,24,Reykjavk
Italy,10,4,72,Venice
Jersy,8,3,54,Atlantic City
Malta,7,4,61,Valletta
Netherlands,8,4,59,Amsterdam
Poland,2,3,6,Krakow
Switzerland,10,5,95,Bern
Spain,9,5,84,Barcelona
Turkey,8,4,57,Istanbul
